match_key,bet_type_name,bet_type_id,outcome_short_name,odds
473d5691c5395ece,1X2,30083,1,1.35
473d5691c5395ece,1X2,30083,X,5.27
473d5691c5395ece,1X2,30083,2,7.77
473d5691c5395ece,Mi-tps 1X2,30084,1,1.88
473d5691c5395ece,Mi-tps 1X2,30084,X,2.43
473d5691c5395ece,Mi-tps 1X2,30084,2,7.43
473d5691c5395ece,Double Chance,30085,1X,1.05
473d5691c5395ece,Double Chance,30085,X2,3.08
473d5691c5395ece,Double Chance,30085,12,1.13
473d5691c5395ece,Mi-tps DC,30086,1X,1.06
473d5691c5395ece,Mi-tps DC,30086,X2,1.83
473d5691c5395ece,Mi-tps DC,30086,12,1.5
473d5691c5395ece,Score exact,30081,0-0,22.4
473d5691c5395ece,Score exact,30081,0-1,30.45
473d5691c5395ece,Score exact,30081,0-2,61.37
473d5691c5395ece,Score exact,30081,0-3,100.0
473d5691c5395ece,Score exact,30081,0-4,100.0
473d5691c5395ece,Score exact,30081,0-5,100.0
473d5691c5395ece,Score exact,30081,0-6,100.0
473d5691c5395ece,Score exact,30081,1-0,12.96
473d5691c5395ece,Score exact,30081,1-1,10.79
473d5691c5395ece,Score exact,30081,1-2,21.95
473d5691c5395ece,Score exact,30081,1-3,72.99
473d5691c5395ece,Score exact,30081,1-4,100.0
473d5691c5395ece,Score exact,30081,1-5,100.0
473d5691c5395ece,Score exact,30081,2-0,9.31
473d5691c5395ece,Score exact,30081,2-1,8.09
473d5691c5395ece,Score exact,30081,2-2,17.68
473d5691c5395ece,Score exact,30081,2-3,65.73
473d5691c5395ece,Score exact,30081,2-4,100.0
473d5691c5395ece,Score exact,30081,3-0,8.93
473d5691c5395ece,Score exact,30081,3-1,9.68
473d5691c5395ece,Score exact,30081,3-2,22.97
473d5691c5395ece,Score exact,30081,3-3,100.0
473d5691c5395ece,Score exact,30081,4-0,14.3
473d5691c5395ece,Score exact,30081,4-1,15.6
473d5691c5395ece,Score exact,30081,4-2,66.52
473d5691c5395ece,Score exact,30081,5-0,27.42
473d5691c5395ece,Score exact,30081,5-1,51.01
473d5691c5395ece,Score exact,30081,6-0,89.68
473d5691c5395ece,Mi-tps CS,30082,0-0,3.56
473d5691c5395ece,Mi-tps CS,30082,0-1,11.31
473d5691c5395ece,Mi-tps CS,30082,0-2,43.16
473d5691c5395ece,Mi-tps CS,30082,0-3,100.0
473d5691c5395ece,Mi-tps CS,30082,1-0,4.48
473d5691c5395ece,Mi-tps CS,30082,1-1,6.32
473d5691c5395ece,Mi-tps CS,30082,1-2,36.18
473d5691c5395ece,Mi-tps CS,30082,2-0,5.77
473d5691c5395ece,Mi-tps CS,30082,2-1,12.21
473d5691c5395ece,Mi-tps CS,30082,3-0,11.15
473d5691c5395ece,+/-,30087,> 0.5,0.98
473d5691c5395ece,+/-,30087,< 0.5,23.67
473d5691c5395ece,+/-,30087,> 1.5,1.09
473d5691c5395ece,+/-,30087,< 1.5,6.83
473d5691c5395ece,+/-,30087,> 2.5,1.41
473d5691c5395ece,+/-,30087,< 2.5,2.85
473d5691c5395ece,+/-,30087,> 3.5,2.29
473d5691c5395ece,+/-,30087,< 3.5,1.61
473d5691c5395ece,HT/FT,30089,1/1,1.97
473d5691c5395ece,HT/FT,30089,1/X,28.38
473d5691c5395ece,HT/FT,30089,1/2,100.0
473d5691c5395ece,HT/FT,30089,X/1,4.19
473d5691c5395ece,HT/FT,30089,X/X,7.6
473d5691c5395ece,HT/FT,30089,X/2,17.56
473d5691c5395ece,HT/FT,30089,2/1,27.29
473d5691c5395ece,HT/FT,30089,2/X,29.59
473d5691c5395ece,HT/FT,30089,2/2,14.47
473d5691c5395ece,Total de buts,30090,0,22.4
473d5691c5395ece,Total de buts,30090,1,9.09
473d5691c5395ece,Total de buts,30090,2,4.62
473d5691c5395ece,Total de buts,30090,3,3.48
473d5691c5395ece,Total de buts,30090,4,4.09
473d5691c5395ece,Total de buts,30090,5,6.16
473d5691c5395ece,Total de buts,30090,6,18.33
473d5691c5395ece,G/NG,30091,Oui,1.75
473d5691c5395ece,G/NG,30091,Non,2.05
473d5691c5395ece,Les deux équipes marquent / 1ère mi temps,30092,Oui,4.05
473d5691c5395ece,Les deux équipes marquent / 1ère mi temps,30092,Non,1.23
473d5691c5395ece,1X2 & Total,30093,1 / > 1.5,1.44
473d5691c5395ece,1X2 & Total,30093,X / > 1.5,6.53
473d5691c5395ece,1X2 & Total,30093,2 / > 1.5,9.86
473d5691c5395ece,1X2 & Total,30093,1 / < 1.5,13.19
473d5691c5395ece,1X2 & Total,30093,X / < 1.5,22.81
473d5691c5395ece,1X2 & Total,30093,2 / < 1.5,31.0
473d5691c5395ece,1X2 & Total,30093,1 / > 2.5,1.7
473d5691c5395ece,1X2 & Total,30093,X / > 2.5,16.11
473d5691c5395ece,1X2 & Total,30093,2 / > 2.5,11.71
473d5691c5395ece,1X2 & Total,30093,1 / < 2.5,5.52
473d5691c5395ece,1X2 & Total,30093,X / < 2.5,7.41
473d5691c5395ece,1X2 & Total,30093,2 / < 2.5,20.72
473d5691c5395ece,1X2 & Total,30093,1 / > 3.5,2.8
473d5691c5395ece,1X2 & Total,30093,X / > 3.5,16.11
473d5691c5395ece,1X2 & Total,30093,2 / > 3.5,28.69
473d5691c5395ece,1X2 & Total,30093,1 / < 3.5,2.42
473d5691c5395ece,1X2 & Total,30093,X / < 3.5,7.41
473d5691c5395ece,1X2 & Total,30093,2 / < 3.5,10.12
473d5691c5395ece,1X2 & G/NG,30094,1 gagne et les deux équipes marquent,2.71
473d5691c5395ece,1X2 & G/NG,30094,1 gagne et seulement  1  marque,2.41
473d5691c5395ece,1X2 & G/NG,30094,X et les deux équipes marquent,6.41
473d5691c5395ece,1X2 & G/NG,30094,X et aucun but,22.4
473d5691c5395ece,1X2 & G/NG,30094,2 gagne et les deux équipes marquent,12.58
473d5691c5395ece,1X2 & G/NG,30094,2 gagne et seulement 2 marque,17.67
473d5691c5395ece,Total equipe domicile,30095,> 0.5,1.04
473d5691c5395ece,Total equipe domicile,30095,< 0.5,10.44
473d5691c5395ece,Total equipe domicile,30095,> 1.5,1.34
473d5691c5395ece,Total equipe domicile,30095,< 1.5,3.17
473d5691c5395ece,Total equipe domicile,30095,> 2.5,2.19
473d5691c5395ece,Total equipe domicile,30095,< 2.5,1.66
473d5691c5395ece,Total equipe domicile,30095,> 3.5,4.89
473d5691c5395ece,Total equipe domicile,30095,< 3.5,1.17
473d5691c5395ece,Total equipe extérieur,30096,> 0.5,1.6
473d5691c5395ece,Total equipe extérieur,30096,< 0.5,2.3
473d5691c5395ece,Total equipe extérieur,30096,> 1.5,4.7
473d5691c5395ece,Total equipe extérieur,30096,< 1.5,1.18
473d5691c5395ece,Total equipe extérieur,30096,> 2.5,22.0
473d5691c5395ece,Total equipe extérieur,30096,< 2.5,0.99
473d5691c5395ece,Total equipe extérieur,30096,> 3.5,100.0
473d5691c5395ece,Total equipe extérieur,30096,< 3.5,0.95
473d5691c5395ece,G/NG equipe domicile,30097,Oui,1.04
473d5691c5395ece,G/NG equipe domicile,30097,Non,10.44
473d5691c5395ece,G/NG equipe extérieur,30098,Oui,1.6
473d5691c5395ece,G/NG equipe extérieur,30098,Non,2.3
473d5691c5395ece,Pair/Impair,30099,Impair,1.85
473d5691c5395ece,Pair/Impair,30099,Pair,1.85
473d5691c5395ece,Minute du premier but,30100,1-15,3.99
473d5691c5395ece,Minute du premier but,30100,16-30,2.74
473d5691c5395ece,Minute du premier but,30100,31-45,4.96
473d5691c5395ece,Minute du premier but,30100,46-60,7.66
473d5691c5395ece,Minute du premier but,30100,61-75,14.28
473d5691c5395ece,Minute du premier but,30100,76-90,17.31
473d5691c5395ece,Minute du premier but,30100,Pas de but,22.4
473d5691c5395ece,FTTS,30101,1,1.41
473d5691c5395ece,FTTS,30101,2,2.75
473d5691c5395ece,FTTS,30101,Pas de but,22.4
473d5691c5395ece,Multi-Buts,30102,"Le total de buts est de 0, 1 ou 2",2.74
473d5691c5395ece,Multi-Buts,30102,"Le total de buts est de 1, 2 ou 3",1.66
473d5691c5395ece,Multi-Buts,30102,"Le total de buts est de 2, 3 ou 4",1.36
473d5691c5395ece,Multi-Buts,30102,Le total de buts est supérieur à 4,4.69
473d5691c5395ece,2ème mi-tps - CS,30105,0-0,5.32
473d5691c5395ece,2ème mi-tps - CS,30105,0-1,12.66
473d5691c5395ece,2ème mi-tps - CS,30105,0-2,35.51
473d5691c5395ece,2ème mi-tps - CS,30105,0-3,100.0
473d5691c5395ece,2ème mi-tps - CS,30105,1-0,5.7
473d5691c5395ece,2ème mi-tps - CS,30105,1-1,6.03
473d5691c5395ece,2ème mi-tps - CS,30105,1-2,25.36
473d5691c5395ece,2ème mi-tps - CS,30105,2-0,5.09
473d5691c5395ece,2ème mi-tps - CS,30105,2-1,8.07
