match_key,league,season_id,round_number,expected_start,home_team,away_team,home_score,away_score,odds_1,odds_X,odds_2,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,over_2_5,btts,home_win,draw,away_win,first_goal_team,last_goal_minute,goal_timeline,had_odds
0a11150d5c5e1f90,italian-league,165050,1,2026-09-10T09:17:28Z,Torino,Sassuolo,1,0,2.07,2.57,5.31,1.13,1.7,1.46,3.84,1.25,3.02,1.37,Non,Non,Oui,Non,Non,Home,50,[50],True
3d1058b6feddb522,italian-league,165050,1,2026-09-10T09:17:28Z,Lazio,Cagliari,2,1,1.45,3.96,8.42,1.04,2.64,1.22,2.05,1.75,2.36,1.57,Oui,Oui,Oui,Non,Non,Away,70,"[16, 67, 70]",True
a8bf7cebeff0df43,italian-league,165050,1,2026-09-10T09:17:28Z,Parma,Cremonese,1,1,2.01,3.44,3.68,1.24,1.74,1.28,1.86,1.92,1.74,2.06,Non,Oui,Non,Oui,Non,Home,20,"[11, 20]",True
5b5fe14e3d6d0e72,italian-league,165050,1,2026-09-10T09:17:28Z,Milan Blues,Fiorentina,2,0,1.59,3.74,6.05,1.1,2.27,1.24,1.94,1.84,2.01,1.77,Non,Non,Oui,Non,Non,Home,75,"[70, 75]",True
bcfde55640cde3ef,italian-league,165050,1,2026-09-10T09:17:28Z,Turin,Pisa,2,1,1.27,4.91,15.03,0.99,3.63,1.15,1.95,1.82,2.95,1.39,Oui,Oui,Oui,Non,Non,Home,84,"[65, 76, 84]",True
02cc24a9d4bf4785,italian-league,165050,1,2026-09-10T09:17:28Z,Milan Reds,Napoli,0,1,2.58,3.12,2.84,1.39,1.46,1.33,2.11,1.71,1.83,1.94,Non,Non,Non,Non,Oui,Away,74,[74],True
03e416388191cc68,italian-league,165050,1,2026-09-10T09:17:28Z,Verona,Bologna,2,2,3.47,3.4,2.09,1.68,1.27,1.28,1.86,1.91,1.72,2.09,Oui,Oui,Non,Oui,Non,Home,48,"[17, 37, 41, 48]",True
3474e736e69c5664,italian-league,165050,1,2026-09-10T09:17:28Z,Roma,Lecce,0,0,1.46,3.77,9.17,1.03,2.62,1.23,2.28,1.61,2.63,1.47,Non,Non,Non,Oui,Non,,,[],True
ea649125de12308a,italian-league,165050,1,2026-09-10T09:17:28Z,Atalanta,Como,2,1,1.6,4.02,5.33,1.12,2.25,1.21,1.66,2.18,1.75,2.04,Oui,Oui,Oui,Non,Non,Away,70,"[9, 47, 70]",True
d9d416550bb07a95,italian-league,165050,1,2026-09-10T09:17:28Z,Genoa,Udinese,2,3,2.07,3.01,4.07,1.2,1.7,1.35,2.45,1.54,2.11,1.71,Oui,Oui,Non,Non,Oui,Away,82,"[8, 14, 54, 76, 82]",True
