match_key,minute,scoring_team,home_score_after,away_score_after
4126c6f71e1cdf06,29,Away,0.0,1.0
4126c6f71e1cdf06,32,Home,1.0,1.0
4126c6f71e1cdf06,41,Home,2.0,1.0
4126c6f71e1cdf06,62,Home,3.0,1.0
0c82891c79024eaf,54,Home,1.0,0.0
c4c69a226941cf3b,26,Home,1.0,0.0
c4c69a226941cf3b,58,Home,2.0,0.0
c4c69a226941cf3b,88,Home,3.0,0.0
1c9f8e183778cfb9,74,Away,0.0,1.0
1c9f8e183778cfb9,80,Home,1.0,1.0
7cf1d4d0296231ed,79,Home,1.0,0.0
7cf1d4d0296231ed,82,Away,1.0,1.0
7cf1d4d0296231ed,87,Away,1.0,2.0
fbcbd7d5a0112c7a,48,Away,0.0,1.0
fbcbd7d5a0112c7a,62,Home,1.0,1.0
09742bda2d477292,16,Home,1.0,0.0
09742bda2d477292,23,Home,2.0,0.0
09742bda2d477292,67,Home,3.0,0.0
09742bda2d477292,87,Home,4.0,0.0
7dfc0817c6ccde40,17,Away,0.0,1.0
7dfc0817c6ccde40,24,Home,1.0,1.0
7dfc0817c6ccde40,88,Home,2.0,1.0
051e2a26cb5968b1,53,Home,1.0,0.0
051e2a26cb5968b1,59,Away,1.0,1.0
051e2a26cb5968b1,88,Home,2.0,1.0
cafec9e85c943dea,18,Home,1.0,0.0
cafec9e85c943dea,29,Home,2.0,0.0
88894a151e7bded7,24,Away,0.0,1.0
88894a151e7bded7,75,Home,1.0,1.0
88894a151e7bded7,84,Home,2.0,1.0
2bb94493ef6f01fd,54,Home,1.0,0.0
2bb94493ef6f01fd,54,Away,1.0,1.0
c29dea1eb276991f,17,Away,0.0,1.0
c29dea1eb276991f,51,Home,1.0,1.0
c29dea1eb276991f,58,Home,2.0,1.0
c29dea1eb276991f,85,Away,2.0,2.0
37de9fc8d87cc3d3,72,Home,1.0,0.0
1c347808dec8f1a1,16,Away,0.0,1.0
1c347808dec8f1a1,50,Home,1.0,1.0
1c347808dec8f1a1,56,Home,2.0,1.0
809d5a2f49c02b44,41,Home,1.0,0.0
809d5a2f49c02b44,44,Away,1.0,1.0
48cf3224aca65a62,25,Home,1.0,0.0
48cf3224aca65a62,63,Away,1.0,1.0
48cf3224aca65a62,85,Home,2.0,1.0
40ecefaba6a2c070,27,Away,0.0,1.0
596c277c015c6e0a,28,Away,0.0,1.0
596c277c015c6e0a,64,Away,0.0,2.0
596c277c015c6e0a,88,Home,1.0,2.0
596c277c015c6e0a,89,Away,1.0,3.0
132cae856ead6a21,1,Home,1.0,0.0
b0351349d62f4432,56,Home,1.0,0.0
c7120a385a3197d1,7,Away,0.0,1.0
c7120a385a3197d1,61,Away,0.0,2.0
c7120a385a3197d1,90,Home,1.0,2.0
2799e0df7de92adf,22,Away,0.0,1.0
2799e0df7de92adf,74,Away,0.0,2.0
2799e0df7de92adf,75,Home,1.0,2.0
ee70d2913497cd16,81,Away,0.0,1.0
c1ee8a27eb69eb10,24,Home,1.0,0.0
c1ee8a27eb69eb10,67,Away,1.0,1.0
ea950bbe0b550281,41,Home,1.0,0.0
ea950bbe0b550281,58,Home,2.0,0.0
ea950bbe0b550281,73,Home,3.0,0.0
4fd663c1b3c5d973,60,Home,1.0,0.0
4fd663c1b3c5d973,74,Away,1.0,1.0
557e4f1e5c359a1a,31,Home,1.0,0.0
557e4f1e5c359a1a,33,Away,1.0,1.0
557e4f1e5c359a1a,41,Away,1.0,2.0
557e4f1e5c359a1a,47,Home,2.0,2.0
557e4f1e5c359a1a,53,Away,2.0,3.0
557e4f1e5c359a1a,65,Home,3.0,3.0
2b17a44bff13b77e,87,Home,1.0,0.0
277a21303e2a2d79,43,Home,1.0,0.0
277a21303e2a2d79,44,Home,2.0,0.0
277a21303e2a2d79,75,Home,3.0,0.0
1273c418ed9eeb1f,53,Home,1.0,0.0
be152ecc41f9d7fa,16,Home,1.0,0.0
0a0148be0d9abb2c,33,Home,1.0,0.0
0a0148be0d9abb2c,38,Home,2.0,0.0
0a0148be0d9abb2c,39,Home,3.0,0.0
913692f7a4c7d393,75,Home,1.0,0.0
73d2788a78f8642a,61,Away,0.0,1.0
73d2788a78f8642a,86,Home,1.0,1.0
eb67de311b326135,27,Home,1.0,0.0
eb67de311b326135,58,Home,2.0,0.0
eb67de311b326135,62,Away,2.0,1.0
eb67de311b326135,88,Away,2.0,2.0
13d2fd6527f27414,43,Home,1.0,0.0
