match_key,league,season_id,round_number,expected_start,home_team,away_team,home_score,away_score,odds_1,odds_X,odds_2,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,over_2_5,btts,home_win,draw,away_win,first_goal_team,last_goal_minute,goal_timeline,had_odds
4126c6f71e1cdf06,spanish-league,164950,1,2026-09-09T17:29:27Z,Vigo,Osasuna,3,1,2.35,2.92,3.42,1.28,1.55,1.37,2.49,1.52,2.07,1.73,Oui,Oui,Oui,Non,Non,Away,62,"[29, 32, 41, 62]",True
0c82891c79024eaf,spanish-league,164950,1,2026-09-09T17:29:27Z,Bilbao,Valencia,1,0,1.49,3.83,7.96,1.05,2.54,1.23,2.1,1.71,2.35,1.58,Non,Non,Oui,Non,Non,Home,54,[54],True
c4c69a226941cf3b,spanish-league,164950,1,2026-09-09T17:29:27Z,R. Sociedad,Elche,3,0,1.65,3.11,7.52,1.06,2.16,1.33,2.91,1.4,2.87,1.41,Oui,Non,Oui,Non,Non,Home,88,"[26, 58, 88]",True
9dc7e3005da3b79a,spanish-league,164950,1,2026-09-09T17:29:27Z,Levante,R. Madrid,0,0,5.57,3.72,1.63,2.19,1.11,1.24,1.89,1.88,1.93,1.84,Non,Non,Non,Oui,Non,,,[],True
1c9f8e183778cfb9,spanish-league,164950,1,2026-09-09T17:29:27Z,Alavés,A. Madrid,1,1,3.17,2.84,2.55,1.47,1.32,1.39,2.6,1.48,2.12,1.7,Non,Oui,Non,Oui,Non,Away,80,"[74, 80]",True
b582bb0d17cd7d0c,spanish-league,164950,1,2026-09-09T17:29:27Z,Barca,Real Oviedo,0,0,1.29,4.86,12.48,1.0,3.43,1.15,1.85,1.93,2.58,1.49,Non,Non,Non,Oui,Non,,,[],True
7cf1d4d0296231ed,spanish-league,164950,1,2026-09-09T17:29:27Z,Betis,Girona,1,2,2.0,3.36,3.83,1.23,1.76,1.29,1.95,1.83,1.8,1.98,Oui,Oui,Non,Non,Oui,Home,87,"[79, 82, 87]",True
fbcbd7d5a0112c7a,spanish-league,164950,1,2026-09-09T17:29:27Z,R. Vallecano,Mallorca,1,1,1.96,3.08,4.44,1.18,1.78,1.34,2.41,1.55,2.13,1.69,Non,Oui,Non,Oui,Non,Away,62,"[48, 62]",True
09742bda2d477292,spanish-league,164950,1,2026-09-09T17:29:27Z,Sevilla,Villareal,4,0,2.52,3.48,2.66,1.43,1.48,1.27,1.71,2.1,1.6,2.31,Oui,Non,Oui,Non,Non,Home,87,"[16, 23, 67, 87]",True
7dfc0817c6ccde40,spanish-league,164950,1,2026-09-09T17:29:27Z,Espanyol,Getafe,2,1,2.22,3.49,3.1,1.33,1.61,1.27,1.73,2.08,1.62,2.26,Oui,Oui,Oui,Non,Non,Away,88,"[17, 24, 88]",True
051e2a26cb5968b1,spanish-league,164950,2,2026-09-09T17:31:27Z,Girona,Valencia,2,1,1.35,5.11,8.24,1.05,3.1,1.14,1.49,2.58,1.85,1.92,Oui,Oui,Oui,Non,Non,Home,88,"[53, 59, 88]",True
cafec9e85c943dea,spanish-league,164950,2,2026-09-09T17:31:27Z,R. Madrid,Bilbao,2,0,1.33,4.67,10.86,1.01,3.2,1.16,1.83,1.94,2.41,1.55,Non,Non,Oui,Non,Non,Home,29,"[18, 29]",True
88894a151e7bded7,spanish-league,164950,2,2026-09-09T17:31:27Z,Villareal,R. Vallecano,2,1,1.49,4.06,7.02,1.07,2.53,1.21,1.84,1.94,2.04,1.76,Oui,Oui,Oui,Non,Non,Away,84,"[24, 75, 84]",True
2bb94493ef6f01fd,spanish-league,164950,2,2026-09-09T17:31:27Z,Mallorca,Barca,1,1,3.4,2.59,2.63,1.44,1.28,1.46,3.3,1.32,2.49,1.52,Non,Oui,Non,Oui,Non,Home,54,"[54, 54]",True
c29dea1eb276991f,spanish-league,164950,2,2026-09-09T17:31:27Z,Elche,Betis,2,2,2.57,2.67,3.36,1.29,1.46,1.43,3.04,1.37,2.36,1.57,Oui,Oui,Non,Oui,Non,Away,85,"[17, 51, 58, 85]",True
37de9fc8d87cc3d3,spanish-league,164950,2,2026-09-09T17:31:27Z,Osasuna,Alavés,1,0,2.04,2.76,4.86,1.15,1.73,1.41,3.14,1.35,2.58,1.49,Non,Non,Oui,Non,Non,Home,72,[72],True
1c347808dec8f1a1,spanish-league,164950,2,2026-09-09T17:31:27Z,A. Madrid,R. Sociedad,2,1,1.87,3.45,4.24,1.19,1.87,1.27,1.93,1.85,1.83,1.95,Oui,Oui,Oui,Non,Non,Away,56,"[16, 50, 56]",True
809d5a2f49c02b44,spanish-league,164950,2,2026-09-09T17:31:27Z,Getafe,Sevilla,1,1,2.38,2.99,3.27,1.3,1.53,1.35,2.35,1.58,1.99,1.8,Non,Oui,Non,Oui,Non,Home,44,"[41, 44]",True
48cf3224aca65a62,spanish-league,164950,2,2026-09-09T17:31:27Z,Espanyol,Vigo,2,1,2.16,3.8,2.99,1.35,1.64,1.23,1.5,2.53,1.48,2.61,Oui,Oui,Oui,Non,Non,Home,85,"[25, 63, 85]",True
40ecefaba6a2c070,spanish-league,164950,2,2026-09-09T17:31:27Z,Real Oviedo,Levante,0,1,1.98,2.7,5.38,1.12,1.77,1.42,3.41,1.3,2.81,1.42,Non,Non,Non,Non,Oui,Away,27,[27],True
596c277c015c6e0a,spanish-league,164950,4,2026-09-09T17:35:27Z,Elche,Girona,1,3,2.65,3.05,2.81,1.39,1.44,1.34,2.21,1.65,1.89,1.88,Oui,Oui,Non,Non,Oui,Away,89,"[28, 64, 88, 89]",True
132cae856ead6a21,spanish-league,164950,4,2026-09-09T17:35:27Z,Villareal,Levante,1,0,1.22,6.05,13.43,1.0,4.09,1.1,1.51,2.52,2.25,1.62,Non,Non,Oui,Non,Non,Home,1,[1],True
58757dd3785a9579,spanish-league,164950,4,2026-09-09T17:35:27Z,Osasuna,Betis,0,0,2.7,2.84,2.97,1.36,1.42,1.39,2.61,1.48,2.11,1.7,Non,Non,Non,Oui,Non,,,[],True
b0351349d62f4432,spanish-league,164950,4,2026-09-09T17:35:27Z,A. Madrid,Valencia,1,0,1.32,4.95,10.01,1.02,3.25,1.14,1.66,2.19,2.16,1.68,Non,Non,Oui,Non,Non,Home,56,[56],True
ec2fe688935f0cf5,spanish-league,164950,4,2026-09-09T17:35:27Z,Real Oviedo,Bilbao,0,0,4.33,2.66,2.2,1.62,1.18,1.43,3.27,1.33,2.58,1.49,Non,Non,Non,Oui,Non,,,[],True
c7120a385a3197d1,spanish-league,164950,4,2026-09-09T17:35:27Z,Espanyol,R. Sociedad,1,2,4.26,3.72,1.8,1.95,1.19,1.24,1.71,2.1,1.69,2.14,Oui,Oui,Non,Non,Oui,Away,90,"[7, 61, 90]",True
2799e0df7de92adf,spanish-league,164950,4,2026-09-09T17:35:27Z,Vigo,R. Vallecano,1,2,1.96,2.85,4.99,1.14,1.78,1.38,2.95,1.39,2.5,1.51,Oui,Oui,Non,Non,Oui,Away,75,"[22, 74, 75]",True
ee70d2913497cd16,spanish-league,164950,4,2026-09-09T17:35:27Z,Mallorca,R. Madrid,0,1,3.79,2.62,2.41,1.52,1.23,1.45,3.28,1.32,2.51,1.51,Non,Non,Non,Non,Oui,Away,81,[81],True
c1ee8a27eb69eb10,spanish-league,164950,4,2026-09-09T17:35:27Z,Getafe,Barca,1,1,4.48,3.22,1.9,1.84,1.17,1.31,2.22,1.64,2.02,1.77,Non,Oui,Non,Oui,Non,Home,67,"[24, 67]",True
ea950bbe0b550281,spanish-league,164950,4,2026-09-09T17:35:27Z,Sevilla,Alavés,3,0,1.83,3.15,5.13,1.13,1.92,1.32,2.43,1.54,2.23,1.64,Oui,Non,Oui,Non,Non,Home,73,"[41, 58, 73]",True
4fd663c1b3c5d973,spanish-league,164950,7,2026-09-09T17:41:27Z,Levante,Alavés,1,1,2.07,2.77,4.63,1.16,1.7,1.4,3.05,1.37,2.51,1.51,Non,Oui,Non,Oui,Non,Home,74,"[60, 74]",True
557e4f1e5c359a1a,spanish-league,164950,7,2026-09-09T17:41:27Z,Bilbao,A. Madrid,3,3,2.29,3.05,3.39,1.28,1.58,1.34,2.26,1.62,1.95,1.83,Oui,Oui,Non,Oui,Non,Home,65,"[31, 33, 41, 47, 53, 65]",True
2b17a44bff13b77e,spanish-league,164950,7,2026-09-09T17:41:27Z,Barca,R. Sociedad,1,0,1.64,3.4,6.46,1.08,2.18,1.28,2.34,1.58,2.34,1.58,Non,Non,Oui,Non,Non,Home,87,[87],True
277a21303e2a2d79,spanish-league,164950,7,2026-09-09T17:41:27Z,Mallorca,Villareal,3,0,2.29,2.75,3.85,1.23,1.57,1.41,2.94,1.39,2.35,1.58,Oui,Non,Oui,Non,Non,Home,75,"[43, 44, 75]",True
1273c418ed9eeb1f,spanish-league,164950,7,2026-09-09T17:41:27Z,Elche,Osasuna,1,0,2.47,2.7,3.52,1.26,1.5,1.42,3.01,1.37,2.35,1.58,Non,Non,Oui,Non,Non,Home,53,[53],True
be152ecc41f9d7fa,spanish-league,164950,7,2026-09-09T17:41:27Z,Real Oviedo,Getafe,1,0,3.06,2.55,2.94,1.36,1.34,1.47,3.42,1.3,2.53,1.5,Non,Non,Oui,Non,Non,Home,16,[16],True
0a0148be0d9abb2c,spanish-league,164950,7,2026-09-09T17:41:27Z,Girona,Espanyol,3,0,1.38,5.42,6.65,1.08,2.93,1.12,1.3,3.42,1.58,2.35,Oui,Non,Oui,Non,Non,Home,39,"[33, 38, 39]",True
913692f7a4c7d393,spanish-league,164950,7,2026-09-09T17:41:27Z,Betis,R. Vallecano,1,0,1.66,3.18,6.98,1.07,2.15,1.32,2.71,1.45,2.66,1.46,Non,Non,Oui,Non,Non,Home,75,[75],True
73d2788a78f8642a,spanish-league,164950,7,2026-09-09T17:41:27Z,R. Madrid,Vigo,1,1,1.17,6.71,16.68,0.98,4.7,1.08,1.48,2.59,2.46,1.53,Non,Oui,Non,Oui,Non,Away,86,"[61, 86]",True
eb67de311b326135,spanish-league,164950,7,2026-09-09T17:41:27Z,Valencia,Sevilla,2,2,1.92,3.02,4.79,1.15,1.82,1.35,2.57,1.49,2.26,1.62,Oui,Oui,Non,Oui,Non,Home,88,"[27, 58, 62, 88]",True
13d2fd6527f27414,spanish-league,164950,9,2026-09-09T17:45:27Z,R. Madrid,R. Sociedad,1,2,1.55,3.72,6.83,1.07,2.36,1.24,2.07,1.73,2.2,1.65,Oui,Oui,Non,Non,Oui,Home,67,"[43, 45, 67]",True
98480a7576929275,spanish-league,164950,9,2026-09-09T17:45:27Z,Villareal,Getafe,3,1,1.59,3.99,5.51,1.12,2.27,1.21,1.7,2.12,1.79,1.99,Oui,Oui,Oui,Non,Non,Home,78,"[16, 24, 37, 78]",True
8434d4b64eccaeec,spanish-league,164950,9,2026-09-09T17:45:27Z,Girona,R. Vallecano,1,1,1.32,5.0,9.9,1.02,3.26,1.14,1.63,2.24,2.12,1.7,Non,Oui,Non,Oui,Non,Home,83,"[66, 83]",True
7c2b04328b808494,spanish-league,164950,9,2026-09-09T17:45:27Z,Mallorca,Vigo,1,1,1.79,3.01,5.98,1.1,1.96,1.35,2.83,1.42,2.58,1.49,Non,Oui,Non,Oui,Non,Home,77,"[15, 77]",True
76fa31954325666d,spanish-league,164950,9,2026-09-09T17:45:27Z,Valencia,Barca,2,1,3.43,2.92,2.35,1.55,1.28,1.37,2.49,1.52,2.07,1.73,Oui,Oui,Oui,Non,Non,Home,90,"[7, 64, 90]",True
a5b4e85c63ecb7e7,spanish-league,164950,9,2026-09-09T17:45:27Z,Bilbao,Osasuna,0,0,1.58,3.63,6.54,1.08,2.29,1.25,2.1,1.71,2.18,1.66,Non,Non,Non,Oui,Non,,,[],True
ccc596010e34397d,spanish-league,164950,9,2026-09-09T17:45:27Z,Levante,Betis,1,1,2.76,2.9,2.83,1.39,1.41,1.37,2.47,1.53,2.03,1.76,Non,Oui,Non,Oui,Non,Away,36,"[27, 36]",True
ee918f00b1d92a93,spanish-league,164950,9,2026-09-09T17:45:27Z,Elche,Sevilla,0,0,2.4,2.88,3.38,1.28,1.53,1.38,2.57,1.49,2.11,1.7,Non,Non,Non,Oui,Non,,,[],True
6391b44900881412,spanish-league,164950,9,2026-09-09T17:45:27Z,A. Madrid,Espanyol,5,0,1.36,5.24,7.55,1.06,3.04,1.13,1.4,2.88,1.72,2.08,Oui,Non,Oui,Non,Non,Home,67,"[18, 36, 56, 57, 67]",True
d2983bd19ccc9a11,spanish-league,164950,9,2026-09-09T17:45:27Z,Real Oviedo,Alavés,1,0,2.76,2.31,3.77,1.23,1.41,1.56,4.59,1.19,3.12,1.35,Non,Non,Oui,Non,Non,Home,17,[17],True
e4d54dea076b80f2,spanish-league,164950,12,2026-09-09T17:51:27Z,Vigo,Bilbao,3,2,2.61,2.91,3.0,1.35,1.45,1.37,2.45,1.53,2.03,1.76,Oui,Oui,Oui,Non,Non,Away,87,"[12, 14, 58, 83, 87]",True
ee038504133baea1,spanish-league,164950,12,2026-09-09T17:51:27Z,Betis,Mallorca,1,1,1.61,3.43,6.84,1.07,2.24,1.28,2.35,1.58,2.39,1.56,Non,Oui,Non,Oui,Non,Home,37,"[31, 37]",True
e8334d8c12f4f46b,spanish-league,164950,12,2026-09-09T17:51:27Z,R. Vallecano,Osasuna,2,1,2.42,2.96,3.25,1.31,1.52,1.36,2.4,1.55,2.01,1.77,Oui,Oui,Oui,Non,Non,Home,82,"[23, 51, 82]",True
88ec9d27d206408d,spanish-league,164950,12,2026-09-09T17:51:27Z,Levante,Elche,2,1,2.11,2.74,4.54,1.17,1.68,1.41,3.11,1.35,2.52,1.51,Oui,Oui,Oui,Non,Non,Home,53,"[12, 50, 53]",True
0ccd2abab9f70cfc,spanish-league,164950,12,2026-09-09T17:51:27Z,Valencia,Real Oviedo,0,0,1.93,2.93,4.97,1.14,1.81,1.36,2.77,1.43,2.4,1.55,Non,Non,Non,Oui,Non,,,[],True
2e965db570125f81,spanish-league,164950,12,2026-09-09T17:51:27Z,R. Madrid,Girona,0,1,1.28,5.43,10.38,1.02,3.5,1.12,1.53,2.47,2.05,1.75,Non,Non,Non,Non,Oui,Away,87,[87],True
00710ee9979c851a,spanish-league,164950,12,2026-09-09T17:51:27Z,R. Sociedad,Villareal,3,2,1.98,3.29,4.0,1.21,1.77,1.3,2.05,1.75,1.88,1.9,Oui,Oui,Oui,Non,Non,Home,71,"[7, 18, 52, 61, 71]",True
9c075a2f411b60f9,spanish-league,164950,12,2026-09-09T17:51:27Z,Alavés,Getafe,0,0,1.88,3.05,5.0,1.14,1.86,1.34,2.57,1.49,2.29,1.6,Non,Non,Non,Oui,Non,,,[],True
fff7c5f324299d57,spanish-league,164950,12,2026-09-09T17:51:27Z,Sevilla,Espanyol,1,3,2.02,3.74,3.36,1.29,1.74,1.24,1.58,2.35,1.54,2.43,Oui,Oui,Non,Non,Oui,Away,85,"[27, 59, 59, 85]",True
259a850b7fa544c2,spanish-league,164950,12,2026-09-09T17:51:27Z,Barca,A. Madrid,1,1,1.72,3.4,5.41,1.12,2.05,1.28,2.17,1.67,2.1,1.71,Non,Oui,Non,Oui,Non,Home,31,"[30, 31]",True
4bfad9823f72be56,spanish-league,164950,14,2026-09-09T17:55:27Z,R. Vallecano,Sevilla,1,0,2.27,3.14,3.32,1.29,1.58,1.32,2.12,1.7,1.86,1.91,Non,Non,Oui,Non,Non,Home,27,[27],True
199b42d36a7392dc,spanish-league,164950,14,2026-09-09T17:55:27Z,Real Oviedo,Elche,1,0,2.88,2.28,3.66,1.25,1.38,1.58,4.79,1.17,3.19,1.34,Non,Non,Oui,Non,Non,Home,47,[47],True
0fbcc6c54347f4c4,spanish-league,164950,14,2026-09-09T17:55:27Z,Alavés,Bilbao,0,0,2.46,2.78,3.4,1.28,1.5,1.4,2.77,1.43,2.22,1.64,Non,Non,Non,Oui,Non,,,[],True
