match_key,league,season_id,round_number,expected_start,home_team,away_team,home_score,away_score,odds_1,odds_X,odds_2,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,over_2_5,btts,home_win,draw,away_win,first_goal_team,last_goal_minute,goal_timeline,had_odds
eca2e8b4aee81bfe,french-league,164863,1,2026-09-09T03:54:30Z,Auxerre,Lorient,2,0,2.05,3.49,3.49,1.27,1.71,1.27,1.78,2.01,1.67,2.16,Non,Non,Oui,Non,Non,Home,18,"[9, 18]",True
01ca1b4b58505331,french-league,164863,1,2026-09-09T03:54:30Z,Lille,Angers,2,2,1.27,5.43,11.7,1.01,3.64,1.12,1.6,2.31,2.23,1.64,Oui,Oui,Non,Oui,Non,Home,90,"[9, 38, 45, 90]",True
d0057bce8d51f25f,french-league,164863,1,2026-09-09T03:54:30Z,Monaco,Paris SG,2,2,3.94,4.08,1.78,1.97,1.22,1.2,1.47,2.64,1.51,2.52,Oui,Oui,Non,Oui,Non,Home,86,"[1, 43, 59, 86]",True
e92a2736e41fa456,french-league,164863,1,2026-09-09T03:54:30Z,Le Havre,Strasbourg,1,2,3.3,3.43,2.15,1.65,1.3,1.28,1.81,1.97,1.68,2.15,Oui,Oui,Non,Non,Oui,Away,67,"[22, 34, 67]",True
401bde7e150cf2d4,french-league,164863,1,2026-09-09T03:54:30Z,Marseille,Brest,0,1,1.54,4.51,5.24,1.13,2.38,1.17,1.43,2.76,1.58,2.35,Non,Non,Non,Non,Oui,Away,57,[57],True
e573c30408ca9f45,french-league,164863,1,2026-09-09T03:54:30Z,Rennes,Nantes,2,2,1.4,4.61,7.76,1.05,2.84,1.16,1.63,2.25,1.93,1.84,Oui,Oui,Non,Oui,Non,Home,48,"[37, 41, 43, 48]",True
1e864303c0de7ada,french-league,164863,1,2026-09-09T03:54:30Z,Paris FC,Lyon,1,2,2.81,3.44,2.42,1.52,1.39,1.28,1.75,2.05,1.62,2.26,Oui,Oui,Non,Non,Oui,Away,61,"[5, 46, 61]",True
254a40e831489ce0,french-league,164863,1,2026-09-09T03:54:30Z,Lens,Metz,5,0,1.21,6.34,13.3,1.0,4.22,1.09,1.44,2.72,2.17,1.67,Oui,Non,Oui,Non,Non,Home,85,"[28, 32, 36, 74, 85]",True
994afaed1e74d199,french-league,164863,1,2026-09-09T03:54:30Z,Toulouse,Nice,3,2,3.04,3.22,2.38,1.54,1.34,1.31,2.0,1.79,1.78,2.01,Oui,Oui,Oui,Non,Non,Away,70,"[8, 9, 12, 51, 70]",True
19ef5e7e7ac6c226,french-league,164863,2,2026-09-09T03:56:30Z,Angers,Marseille,0,3,5.53,4.37,1.54,2.4,1.12,1.18,1.51,2.5,1.66,2.19,Oui,Non,Non,Non,Oui,Away,79,"[38, 57, 79]",True
9a107fc766309ec1,french-league,164863,2,2026-09-09T03:56:30Z,Nantes,Le Havre,2,0,2.59,3.24,2.74,1.41,1.46,1.31,1.96,1.82,1.75,2.05,Non,Non,Oui,Non,Non,Home,53,"[19, 53]",True
f8938eb38cd2e808,french-league,164863,2,2026-09-09T03:56:30Z,Brest,Rennes,3,2,2.0,3.51,3.63,1.25,1.75,1.27,1.78,2.01,1.68,2.15,Oui,Oui,Oui,Non,Non,Home,89,"[31, 32, 35, 56, 89]",True
53a3045db8fcf502,french-league,164863,2,2026-09-09T03:56:30Z,Paris SG,Auxerre,3,2,1.25,6.51,9.34,1.03,3.77,1.08,1.26,3.74,1.71,2.1,Oui,Oui,Oui,Non,Non,Home,58,"[27, 29, 51, 56, 58]",True
f6a9f1b4cc12f6da,french-league,164863,2,2026-09-09T03:56:30Z,Lyon,Lens,1,3,2.52,3.28,2.79,1.4,1.48,1.3,1.92,1.86,1.72,2.09,Oui,Oui,Non,Non,Oui,Away,60,"[20, 42, 53, 60]",True
6b5109f4454d950c,french-league,164863,2,2026-09-09T03:56:30Z,Monaco,Lille,0,0,2.02,3.44,3.66,1.25,1.74,1.28,1.85,1.93,1.73,2.08,Non,Non,Non,Oui,Non,,,[],True
2df650a5dd0f6692,french-league,164863,2,2026-09-09T03:56:30Z,Strasbourg,Toulouse,3,2,2.29,3.42,3.02,1.35,1.57,1.28,1.78,2.0,1.65,2.21,Oui,Oui,Oui,Non,Non,Home,88,"[17, 35, 70, 72, 88]",True
214ff239e07ab217,french-league,164863,2,2026-09-09T03:56:30Z,Metz,Nice,4,2,3.72,3.88,1.88,1.86,1.24,1.22,1.54,2.43,1.54,2.43,Oui,Oui,Oui,Non,Non,Home,80,"[3, 5, 20, 49, 59, 80]",True
8f2bc61de9c71c5a,french-league,164863,2,2026-09-09T03:56:30Z,Lorient,Paris FC,1,1,2.91,3.33,2.4,1.52,1.37,1.29,1.86,1.91,1.69,2.13,Non,Oui,Non,Oui,Non,Away,78,"[43, 78]",True
7fd475866aaca929,french-league,164863,4,2026-09-09T04:00:30Z,Paris SG,Lens,1,1,1.92,3.66,3.77,1.24,1.82,1.25,1.69,2.14,1.64,2.23,Non,Oui,Non,Oui,Non,Home,42,"[6, 42]",True
7ea00d7584fea170,french-league,164863,4,2026-09-09T04:00:30Z,Auxerre,Marseille,1,4,3.32,3.34,2.18,1.63,1.29,1.29,1.89,1.88,1.73,2.08,Oui,Oui,Non,Non,Oui,Home,73,"[24, 38, 65, 69, 73]",True
2021ea529812d501,french-league,164863,4,2026-09-09T04:00:30Z,Lille,Paris FC,2,1,1.54,4.05,6.12,1.09,2.39,1.21,1.75,2.05,1.88,1.89,Oui,Oui,Oui,Non,Non,Home,62,"[39, 41, 62]",True
4964ade02afebf05,french-league,164863,4,2026-09-09T04:00:30Z,Monaco,Rennes,3,0,1.67,4.13,4.6,1.16,2.14,1.2,1.52,2.49,1.59,2.32,Oui,Non,Oui,Non,Non,Home,40,"[15, 30, 40]",True
bec425f3ba3b7ef3,french-league,164863,4,2026-09-09T04:00:30Z,Lorient,Nice,3,2,3.77,3.63,1.93,1.81,1.24,1.25,1.71,2.11,1.65,2.2,Oui,Oui,Oui,Non,Non,Home,83,"[32, 38, 56, 67, 83]",True
6ca2da643d3408b2,french-league,164863,4,2026-09-09T04:00:30Z,Lyon,Metz,3,3,1.22,6.69,11.14,1.01,4.1,1.08,1.31,3.38,1.87,1.9,Oui,Oui,Non,Oui,Non,Home,90,"[19, 27, 36, 46, 65, 90]",True
1b3ecc39989ff4c1,french-league,164863,4,2026-09-09T04:00:30Z,Brest,Strasbourg,2,0,1.86,3.64,4.03,1.21,1.88,1.25,1.74,2.07,1.69,2.14,Non,Non,Oui,Non,Non,Home,67,"[48, 67]",True
c4f22eb364116d05,french-league,164863,4,2026-09-09T04:00:30Z,Angers,Le Havre,1,2,3.3,3.65,2.07,1.7,1.3,1.25,1.63,2.23,1.57,2.36,Oui,Oui,Non,Non,Oui,Home,89,"[71, 71, 89]",True
adbd74113db2ef73,french-league,164863,4,2026-09-09T04:00:30Z,Nantes,Toulouse,1,1,3.3,3.16,2.27,1.59,1.3,1.32,2.1,1.72,1.85,1.93,Non,Oui,Non,Oui,Non,Away,63,"[51, 63]",True
8c44724461ee990d,french-league,164863,7,2026-09-09T04:06:30Z,Brest,Angers,1,1,1.45,4.06,8.17,1.05,2.66,1.21,1.96,1.82,2.25,1.62,Non,Oui,Non,Oui,Non,Home,76,"[16, 76]",True
c9547586048809c8,french-league,164863,7,2026-09-09T04:06:30Z,Nice,Marseille,1,1,2.06,3.32,3.67,1.25,1.71,1.29,1.97,1.81,1.8,1.98,Non,Oui,Non,Oui,Non,Away,44,"[42, 44]",True
07df1c7b78a61c30,french-league,164863,7,2026-09-09T04:06:30Z,Strasbourg,Auxerre,2,1,1.67,4.05,4.69,1.16,2.13,1.21,1.57,2.37,1.63,2.24,Oui,Oui,Oui,Non,Non,Home,73,"[6, 57, 73]",True
