match_key,league,season_id,round_number,expected_start,home_team,away_team,home_score,away_score,odds_1,odds_X,odds_2,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,over_2_5,btts,home_win,draw,away_win,first_goal_team,last_goal_minute,goal_timeline,had_odds
60c658b49c9deb6b,german-league,165006,1,2026-09-10T02:23:30Z,Leipzig,Frankfurt,1,1,1.45,4.95,5.99,1.1,2.66,1.14,1.36,3.08,1.57,2.35,Non,Oui,Non,Oui,Non,Away,79,"[57, 79]",True
e1d6f9449f1da0da,german-league,165006,1,2026-09-10T02:23:30Z,Wolfsburg,Bremen,3,2,2.02,4.29,3.02,1.35,1.74,1.19,1.29,3.51,1.34,3.19,Oui,Oui,Oui,Non,Non,Away,78,"[4, 42, 54, 71, 78]",True
a8794cd693e0c9d4,german-league,165006,1,2026-09-10T02:23:30Z,Hoffenheim,Freiburg,6,0,2.08,4.01,3.04,1.34,1.7,1.21,1.41,2.87,1.42,2.82,Oui,Non,Oui,Non,Non,Home,82,"[28, 39, 39, 68, 80, 82]",True
3baf111e87fedc12,german-league,165006,1,2026-09-10T02:23:30Z,Leverkusen,Pauli,2,1,1.48,4.3,6.58,1.08,2.55,1.19,1.65,2.2,1.85,1.92,Oui,Oui,Oui,Non,Non,Home,45,"[21, 38, 45]",True
34a27a97314ed7c7,german-league,165006,1,2026-09-10T02:23:30Z,Augsburg,Heidenheim,0,4,2.32,3.52,2.9,1.37,1.56,1.26,1.69,2.14,1.59,2.32,Oui,Non,Non,Non,Oui,Away,77,"[30, 31, 49, 77]",True
60dc212d70b5eca3,german-league,165006,1,2026-09-10T02:23:30Z,Berlin,Hambourg,2,0,1.37,4.8,8.28,1.04,2.98,1.15,1.59,2.32,1.95,1.83,Non,Non,Oui,Non,Non,Home,67,"[8, 67]",True
74166183a3c1be30,german-league,165006,1,2026-09-10T02:23:30Z,Mainz,Munich,2,4,3.23,4.08,1.98,1.77,1.31,1.2,1.39,2.95,1.41,2.84,Oui,Oui,Non,Non,Oui,Home,84,"[6, 26, 35, 52, 57, 84]",True
65a4cc6b77a26910,german-league,165006,1,2026-09-10T02:23:30Z,Dortmund,Stuttgart,3,0,1.37,5.67,6.41,1.09,2.95,1.11,1.24,3.93,1.51,2.51,Oui,Non,Oui,Non,Non,Home,6,"[2, 5, 6]",True
8202eeaf6d6bb72f,german-league,165006,1,2026-09-10T02:23:30Z,Mönchengladbach,Koln,3,1,1.54,4.93,4.79,1.15,2.38,1.15,1.27,3.7,1.42,2.8,Oui,Oui,Oui,Non,Non,Away,57,"[30, 33, 48, 57]",True
ac901e59cf3f37d4,german-league,165006,2,2026-09-10T02:25:30Z,Munich,Dortmund,1,0,1.27,6.37,8.55,1.04,3.58,1.09,1.25,3.84,1.66,2.19,Non,Non,Oui,Non,Non,Home,6,[6],True
